上海,#genre#
山东卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000364/index.m3u8?IAS
广东卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000341/index.m3u8?IAS
江苏卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000177/index.m3u8?IAS
江西卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000522/index.m3u8?IAS
河北卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000487/index.m3u8?IAS
河南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000310/index.m3u8?IAS
浙江卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000248/index.m3u8?IAS
海南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000262/index.m3u8?IAS
深圳卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000352/index.m3u8?IAS
湖北卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000250/index.m3u8?IAS
山西卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000318/index.m3u8?IAS
东南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000502/index.m3u8?IAS
贵州卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000489/index.m3u8?IAS
辽宁卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000307/index.m3u8?IAS
重庆卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000332/index.m3u8?IAS
黑龙江卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000175/index.m3u8?IAS
内蒙古卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000319/index.m3u8?IAS
宁夏卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000309/index.m3u8?IAS
陕西卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000313/index.m3u8?IAS
吉林卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000533/index.m3u8?IAS
云南卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000305/index.m3u8?IAS
三沙卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000208/index.m3u8?IAS
青海卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000320/index.m3u8?IAS
新疆卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000316/index.m3u8?IAS
西藏卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000317/index.m3u8?IAS
厦门卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000193/index.m3u8?IAS
CCTV1,http://111.230.30.193/php/lyd.php?id=6559
CCTV2,http://111.230.30.193/php/lyd.php?id=6540
CCTV3,http://111.230.30.193/php/lyd.php?id=6021
CCTV4,http://111.230.30.193/php/lyd.php?id=6428
CCTV5,http://111.230.30.193/php/lyd.php?id=6469
CCTV5+,http://111.230.30.193/php/lyd.php?id=5603
CCTV6,http://111.230.30.193/php/lyd.php?id=6010
CCTV7,http://111.230.30.193/php/lyd.php?id=5733
CCTV8,http://111.230.30.193/php/lyd.php?id=6008
CCTV9,http://111.230.30.193/php/lyd.php?id=5734
CCTV10,http://111.230.30.193/php/lyd.php?id=6473
CCTV11,http://111.230.30.193/php/lyd.php?id=6565
CCTV12,http://111.230.30.193/php/lyd.php?id=6568
CCTV13,http://111.230.30.193/php/lyd.php?id=6571
CCTV14,http://111.230.30.193/php/lyd.php?id=6591
CCTV15,http://111.230.30.193/php/lyd.php?id=6476
CCTV16,http://111.230.30.193/php/lyd.php?id=6100
CCTV17,http://111.230.30.193/php/lyd.php?id=5765
北京卫视,http://111.230.30.193/php/lyd.php?id=6450
东方卫视,http://111.230.30.193/php/lyd.php?id=6345
江苏卫视,http://111.230.30.193/php/lyd.php?id=6310
浙江卫视,http://111.230.30.193/php/lyd.php?id=6339
湖南卫视,http://111.230.30.193/php/lyd.php?id=6307
东南卫视,http://111.230.30.193/php/lyd.php?id=6341
广东卫视,http://111.230.30.193/php/lyd.php?id=6248
广西卫视,http://111.230.30.193/php/lyd.php?id=6549
贵州卫视,http://111.230.30.193/php/lyd.php?id=6474
海南卫视,http://111.230.30.193/php/lyd.php?id=6465
安徽卫视,http://111.230.30.193/php/lyd.php?id=6391
河南卫视,http://111.230.30.193/php/lyd.php?id=6480
湖北卫视,http://111.230.30.193/php/lyd.php?id=6477
吉林卫视,http://111.230.30.193/php/lyd.php?id=6397
江西卫视,http://111.230.30.193/php/lyd.php?id=6344
辽宁卫视,http://111.230.30.193/php/lyd.php?id=6546
山东卫视,http://111.230.30.193/php/lyd.php?id=6456
深圳卫视,http://111.230.30.193/php/lyd.php?id=6313
四川卫视,http://111.230.30.193/php/lyd.php?id=6338
天津卫视,http://111.230.30.193/php/lyd.php?id=6459
重庆卫视,http://111.230.30.193/php/lyd.php?id=6409
甘肃卫视,http://111.230.30.193/php/lyd.php?id=5633
贵州卫视,http://111.230.30.193/php/lyd.php?id=5626
康巴卫视,http://111.230.30.193/php/lyd.php?id=5660
内蒙古卫视,http://111.230.30.193/php/lyd.php?id=5634
大湾区卫视,http://111.230.30.193/php/lyd.php?id=6442
宁夏卫视,http://111.230.30.193/php/lyd.php?id=6454
青海卫视,http://111.230.30.193/php/lyd.php?id=6323
山西卫视,http://111.230.30.193/php/lyd.php?id=5624
陕西卫视,http://111.230.30.193/php/lyd.php?id=5625
西藏卫视,http://111.230.30.193/php/lyd.php?id=6433
新疆卫视,http://111.230.30.193/php/lyd.php?id=5635
延边卫视,http://111.230.30.193/php/lyd.php?id=6516


电信组播,#genre#
新闻综合,http://58.41.27.144:18888/rtp/239.45.3.209:5140
东方卫视,http://58.41.27.144:18888/rtp/239.45.3.146:5140
都市频道,http://58.41.27.144:18888/rtp/239.45.3.236:5140
纪实人文,http://58.41.27.144:18888/rtp/239.45.3.212:5140
东方影视,http://58.41.27.144:18888/rtp/239.45.3.237:5140
第一财经,http://58.41.27.144:18888/rtp/239.45.3.211:5140
五星体育,http://58.41.27.144:18888/rtp/239.45.3.210:5140
哈哈炫动,http://58.41.27.144:18888/rtp/239.45.1.55:5140
上视外语,http://58.41.27.144:18888/rtp/239.45.1.127:5140
都市剧场,http://58.41.27.144:18888/rtp/239.45.3.136:5140
欢笑剧场,http://58.41.27.144:18888/rtp/239.45.3.196:5140
欢笑剧场（备）,http://58.41.27.144:18888/rtp/239.45.1.4:5140
全纪实,http://58.41.27.144:18888/rtp/239.45.3.135:5140
动漫秀场,http://58.41.27.144:18888/rtp/239.45.3.134:5140
生活时尚,http://58.41.27.144:18888/rtp/239.45.3.132:5140
游戏风云,http://58.41.27.144:18888/rtp/239.45.3.131:5140
MAX极速汽车,http://58.41.27.144:18888/rtp/239.45.3.49:5140
教育台,http://58.41.27.144:18888/rtp/239.45.3.122:5140#http://58.41.27.144:18888/rtp/239.45.3.252:5140
东方财经,http://58.41.27.144:18888/rtp/239.45.1.119:5140#http://58.41.27.144:18888/rtp/239.45.3.192:5140
七彩戏剧,http://58.41.27.144:18888/rtp/239.45.3.61:5140#http://58.41.27.144:18888/rtp/239.45.1.112:5140
法治天地,http://58.41.27.144:18888/rtp/239.45.1.46:5140
浦东频道,http://58.41.27.144:18888/rtp/239.45.3.248:5140
崇明电视,http://58.41.27.144:18888/rtp/239.45.1.54:5140
嘉定频道,http://58.41.27.144:18888/rtp/239.45.3.185:5140
金色频道,http://58.41.27.144:18888/rtp/239.45.1.118:5140#http://58.41.27.144:18888/rtp/239.45.3.51:5140
健康人生,http://58.41.27.144:18888/rtp/239.45.3.214:5140
百事通超级体育,http://58.41.27.144:18888/rtp/239.45.3.139:5140
百事通4K,http://58.41.27.144:18888/rtp/239.45.1.42:5140#http://58.41.27.144:18888/rtp/239.45.3.107:5140
百事通4K（备）,http://58.41.27.144:18888/rtp/239.45.3.107:5140
CCTV1综合,http://58.41.27.144:18888/rtp/239.45.3.145:5140
CCTV2财经,http://58.41.27.144:18888/rtp/239.45.1.109:5140
CCTV3综艺,http://58.41.27.144:18888/rtp/239.45.1.68:5140
CCTV4中文国际,http://58.41.27.144:18888/rtp/239.45.0.2:5140
CCTV5体育,http://58.41.27.144:18888/rtp/239.45.1.69:5140
CCTV6电影,http://58.41.27.144:18888/rtp/239.45.1.70:5140
CCTV7国防军事,http://58.41.27.144:18888/rtp/239.45.3.56:5140
CCTV8电视剧,http://58.41.27.144:18888/rtp/239.45.1.71:5140
CCTV9记录,http://58.41.27.144:18888/rtp/239.45.3.4:5140#http://58.41.27.144:18888/rtp/239.45.1.108:5140
CCTV10科教,http://58.41.27.144:18888/rtp/239.45.3.8:5140
CCTV11戏曲,http://58.41.27.144:18888/rtp/239.45.1.196:5140
CCTV12社会与法,http://58.41.27.144:18888/rtp/239.45.3.10:5140
CCTV13新闻,http://58.41.27.144:18888/rtp/239.45.1.198:5140
CCTV14少儿,http://58.41.27.144:18888/rtp/239.45.3.23:5140
CCTV15音乐,http://58.41.27.144:18888/rtp/239.45.1.200:5140
CCTV-17农村农业,http://58.41.27.144:18888/rtp/239.45.3.52:5140
CGTN,http://58.41.27.144:18888/rtp/239.45.1.194:5140
